date_key,full_date,date_year,date_month,day_of_week,is_weekend,is_holiday
20250919,2025-09-19,2025,9,5,f,f
20250529,2025-05-29,2025,5,4,f,f
20250708,2025-07-08,2025,7,2,f,f
20250914,2025-09-14,2025,9,7,t,f
20250530,2025-05-30,2025,5,5,f,f
20250821,2025-08-21,2025,8,4,f,f
20250807,2025-08-07,2025,8,4,f,f
20250614,2025-06-14,2025,6,6,t,f
20250815,2025-08-15,2025,8,5,f,f
20250630,2025-06-30,2025,6,1,f,f
20250704,2025-07-04,2025,7,5,f,f
20250628,2025-06-28,2025,6,6,t,f
20250523,2025-05-23,2025,5,5,f,f
20250831,2025-08-31,2025,8,7,t,f
20250606,2025-06-06,2025,6,5,f,f
20250906,2025-09-06,2025,9,6,t,f
20250802,2025-08-02,2025,8,6,t,f
20250820,2025-08-20,2025,8,3,f,f
20250701,2025-07-01,2025,7,2,f,f
20250709,2025-07-09,2025,7,3,f,f
20250909,2025-09-09,2025,9,2,f,f
20250622,2025-06-22,2025,6,7,t,f
20250524,2025-05-24,2025,5,6,t,f
20250609,2025-06-09,2025,6,1,f,f
20250604,2025-06-04,2025,6,3,f,f
20250716,2025-07-16,2025,7,3,f,f
20250913,2025-09-13,2025,9,6,t,f
20250720,2025-07-20,2025,7,7,t,f
20250810,2025-08-10,2025,8,7,t,f
20250603,2025-06-03,2025,6,2,f,f
20250601,2025-06-01,2025,6,7,t,f
20250731,2025-07-31,2025,7,4,f,f
20250618,2025-06-18,2025,6,3,f,f
20250813,2025-08-13,2025,8,3,f,f
20250724,2025-07-24,2025,7,4,f,f
20250801,2025-08-01,2025,8,5,f,f
20250726,2025-07-26,2025,7,6,t,f
20250607,2025-06-07,2025,6,6,t,f
20250626,2025-06-26,2025,6,4,f,f
20250827,2025-08-27,2025,8,3,f,f
20250617,2025-06-17,2025,6,2,f,f
20250727,2025-07-27,2025,7,7,t,f
20250828,2025-08-28,2025,8,4,f,f
20250602,2025-06-02,2025,6,1,f,f
20250613,2025-06-13,2025,6,5,f,f
20250729,2025-07-29,2025,7,2,f,f
20250829,2025-08-29,2025,8,5,f,f
20250901,2025-09-01,2025,9,1,f,f
20250527,2025-05-27,2025,5,2,f,f
20250531,2025-05-31,2025,5,6,t,f
20250608,2025-06-08,2025,6,7,t,f
20250822,2025-08-22,2025,8,5,f,f
20250823,2025-08-23,2025,8,6,t,f
20250918,2025-09-18,2025,9,4,f,f
20250825,2025-08-25,2025,8,1,f,f
20250621,2025-06-21,2025,6,6,t,f
20250817,2025-08-17,2025,8,7,t,f
20250616,2025-06-16,2025,6,1,f,f
20250705,2025-07-05,2025,7,6,t,f
20250917,2025-09-17,2025,9,3,f,f
20250610,2025-06-10,2025,6,2,f,f
20250826,2025-08-26,2025,8,2,f,f
20250811,2025-08-11,2025,8,1,f,f
20250803,2025-08-03,2025,8,7,t,f
20250710,2025-07-10,2025,7,4,f,f
20250905,2025-09-05,2025,9,5,f,f
20250717,2025-07-17,2025,7,4,f,f
20250718,2025-07-18,2025,7,5,f,f
20250629,2025-06-29,2025,6,7,t,f
20250730,2025-07-30,2025,7,3,f,f
20250908,2025-09-08,2025,9,1,f,f
20250625,2025-06-25,2025,6,3,f,f
20250903,2025-09-03,2025,9,3,f,f
20250808,2025-08-08,2025,8,5,f,f
20250711,2025-07-11,2025,7,5,f,f
20250907,2025-09-07,2025,9,7,t,f
20250620,2025-06-20,2025,6,5,f,f
20250816,2025-08-16,2025,8,6,t,f
20250706,2025-07-06,2025,7,7,t,f
20250912,2025-09-12,2025,9,5,f,f
20250725,2025-07-25,2025,7,5,f,f
20250525,2025-05-25,2025,5,7,t,f
20250812,2025-08-12,2025,8,2,f,f
20250715,2025-07-15,2025,7,2,f,f
20250528,2025-05-28,2025,5,3,f,f
20250819,2025-08-19,2025,8,2,f,f
20250915,2025-09-15,2025,9,1,f,f
20250627,2025-06-27,2025,6,5,f,f
20250721,2025-07-21,2025,7,1,f,f
20250830,2025-08-30,2025,8,6,t,f
20250605,2025-06-05,2025,6,4,f,f
20250611,2025-06-11,2025,6,3,f,f
20250818,2025-08-18,2025,8,1,f,f
20250806,2025-08-06,2025,8,3,f,f
20250911,2025-09-11,2025,9,4,f,f
20250904,2025-09-04,2025,9,4,f,f
20250623,2025-06-23,2025,6,1,f,f
